player_id,player_name,feet,inches,weight(lbs.),born,college,high_school_name,high_school_state,draft_team,draft_info,birthday
00-0013013,Michael Pittman,6,0,218,"
    in New Orleans, LA",Fresno St.,Mira Mesa,CA,Arizona Cardinals,Draft: Arizona Cardinals in the 4th round (95th overall) of the 1998 NFL Draft.,8/14/1975
00-0036252,Michael Pittman,6,4,223,"
    in Woodland Hills, CA",USC,Oaks Christian,CA,Indianapolis Colts,Draft: Indianapolis Colts in the 2nd round (34th overall) of the 2020 NFL Draft.,10/5/1997
00-0023452,Mike Williams,6,5,235,"
    in Tampa, FL",USC,Plant,FL,Detroit Lions,Draft: Detroit Lions in the 1st round (10th overall) of the 2005 NFL Draft.,1/4/1984
00-0027702,Mike Williams,6,2,204,"
    in Buffalo, NY",Syracuse,Riverside,NY,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 4th round (101st overall) of the 2010 NFL Draft.,5/18/1987
00-0033536,Mike Williams,6,4,218,"
    in Vance, SC",Clemson,Lake Marion,SC,Los Angeles Chargers,Draft: Los Angeles Chargers in the 1st round (7th overall) of the 2017 NFL Draft.,10/4/1994
00-0023456,Matt Jones,6,6,222,"
    in Fort Smith, AR",Arkansas,Van Buren,AR,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (21st overall) of the 2005 NFL Draft.,4/22/1983
00-0031939,Matt Jones,6,2,239,"
    in Seffner, FL",Florida,Armwood,FL,Washington Redskins,Draft: Washington Redskins in the 3rd round (95th overall) of the 2015 NFL Draft.,3/7/1993
00-0023436,Alex Smith,6,4,213,"
    in Seattle, WA",Utah,Helix,CA,San Francisco 49ers,Draft: San Francisco 49ers in the 1st round (1st overall) of the 2005 NFL Draft.,5/7/1984
00-0023506,Alex Smith,6,4,250,"
    in Denver, CO",Stanford,Mullen,CO,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 3rd round (71st overall) of the 2005 NFL Draft.,5/22/1982
00-0025425,Zach Miller,6,5,256,"
    in Tempe, AZ",Arizona St.,Desert Vista,AZ,Oakland Raiders,Draft: Oakland Raiders in the 2nd round (38th overall) of the 2007 NFL Draft.,12/11/1985
00-0027125,Zach Miller,6,5,245,"
    in Wahoo, NE",Nebraska-Omaha,Bishop Neumann,NE,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 6th round (180th overall) of the 2009 NFL Draft.,10/4/1984
00-0022984,Ryan Grant,6,1,222,"
    in Suffern, NY",Notre Dame,Don Bosco Prep,NJ,NA,"Twitter:
@RyanGrant25
",12/9/1982
00-0031068,Ryan Grant,6,0,195,"
    in Beaumont, TX",Tulane,West Brook,TX,Washington Redskins,Draft: Washington Redskins in the 5th round (142nd overall) of the 2014 NFL Draft.,12/19/1990
00-0020337,Steve Smith,5,9,195,"
    in Los Angeles, CA",Utah,University,CA,Carolina Panthers,Draft: Carolina Panthers in the 3rd round (74th overall) of the 2001 NFL Draft.,5/12/1979
00-0025438,Steve Smith,6,0,195,"
    in Anchorage, AK",USC,William Howard Taft,CA,New York Giants,Draft: New York Giants in the 2nd round (51st overall) of the 2007 NFL Draft.,5/6/1985
00-0021306,Adrian Peterson,5,10,212,"
    in Gainesville, FL",Georgia Southern,Santa Fe,FL,Chicago Bears,Draft: Chicago Bears in the 6th round (199th overall) of the 2002 NFL Draft.,7/1/1979
00-0025394,Adrian Peterson,6,1,220,"
    in Palestine, TX",Oklahoma,Palestine,TX,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (7th overall) of the 2007 NFL Draft.,3/21/1985
00-0031900,Rod Smith,6,3,235,,Ohio State,Paul Harding,IN,NA,NA,1/10/1992
00-0015290,Rod Smith,6,0,200,,Missouri Southern,Arkansas,AR,NA,NA,5/15/1970
